"num.trees","mtry","min.node.size","replace","sample.fraction","train_rmse","valid_rmse"
500,0,3,TRUE,0.63,262.589989511307,267.406649620391
100,1,3,TRUE,0.63,369.707430934683,374.132859520238
80,1,3,TRUE,0.63,380.331111600664,384.802387399463
500,1,3,TRUE,0.63,383.23167883683,388.232768344817
100,2,3,TRUE,0.63,264.673947481054,267.644931167403
80,2,3,TRUE,0.63,263.65981526629,266.620529064748
500,2,3,TRUE,0.63,261.729699650746,266.328227070375
100,2,3,TRUE,0.63,262.95259863531,264.755476013796
80,2,3,TRUE,0.63,262.08561986729,264.313839863615
500,2,3,TRUE,0.63,262.324461041666,266.610505566753
100,3,3,TRUE,0.63,244.596241369267,248.623829918692
80,3,3,TRUE,0.63,244.808995597468,246.41458019565
500,3,3,TRUE,0.63,241.628314891132,245.546900881339
100,0,5,TRUE,0.63,263.731747866115,268.474993618763
80,0,5,TRUE,0.63,263.898293650825,268.741819975446
500,0,5,TRUE,0.63,261.355108820187,265.476464790508
100,1,5,TRUE,0.63,384.231208467448,389.690227080256
80,1,5,TRUE,0.63,380.278411802549,384.183303399483
500,1,5,TRUE,0.63,370.823239338552,376.082740277811
100,2,5,TRUE,0.63,266.833121556722,270.414179326633
80,2,5,TRUE,0.63,263.951806836034,265.761743685902
500,2,5,TRUE,0.63,262.046559735063,265.890969695131
100,2,5,TRUE,0.63,264.917090178106,268.107635784073
80,2,5,TRUE,0.63,264.480247364774,268.925430391863
500,2,5,TRUE,0.63,263.289882268934,266.547586524973
100,3,5,TRUE,0.63,245.368471331917,247.083866583511
80,3,5,TRUE,0.63,243.956454690254,247.322891187089
500,3,5,TRUE,0.63,241.896021506392,245.75759249448
100,0,10,TRUE,0.63,264.574013354742,268.898002997486
80,0,10,TRUE,0.63,265.234197022907,268.443134489006
500,0,10,TRUE,0.63,263.076192884536,267.413181548063
100,1,10,TRUE,0.63,373.708880374249,378.319879161517
